Username,Comment,vader_sentiment
@xackbellegaming3491,"you are an absolute lifesaver!! thank you!!! if anyone out there is having troubles installing stable diffusion and getting this error, this amazing mans tutorial fixed it for me!!",1
@DJxMaster2,Very useful video thank you!,1
@thetravellingtacos9762,"great one, works 100% kudos !",1
@WolfMKV,"Thank you 
 I didn't have python in my PATH folder and this helped me",1
@Baxxor299,"Excellent video, short and to the point. You are great dude!",1
@kitsumech,"Thanks brother! Short and to the point, and I'm up and running now :)",1
@eclairron,Thank you so much! This was clear and to the point! Really appreciate it!,1
@telugubro1068, Thanks brother it really works ,1
@Mattcodes_,Thank you so much. Helped me TONS!,1
@engineering_chaos2749,Thank you for creating this quick tutorial!,1
@iamteja03,Thanks Man.... You given a medicine for my headache ,1
@johnwilson9612,"Actually work, thanks for the upload",1
@user-ou2oc5ix5v,It solved my problem in 1 minute sir. Thank you for your informative videos,1
@cityglowbeauty,When I select edit on path for systems variable a list does not pop up. It only allows for a single path input.,1
@somuch3d,"Wow. 
Very helpful and worked perfectly. thank you for this tutorial.",1
@sanoh_224,"Thank you
This was very helpful.",1
@madsciiscrazy,100'S OF ARTICLE LATER THIS WAS IT - THANK YOU!,1
@djlit7928,Thank you strait to the point no fafing about,1
@cyberboy1467,I installed python 3.11.3 version and i couldn't find the sceipt folder in the python directory or folder.. But why?,1
@akhub116,its worked bro. thank you very much. greeting from srilanka,1
@sK23Asa,"Thank you so much bro,, 100% works AND VERY GRATEFUL TO YOU",1
@mcsquarewolf9557,Worked like a charm. Thank you sir,1
@astrophile9072,"Your this video was suggested by Google bard to me, and nice I like video",1
@gabrielrangel3422,Thanks bro!!,1
@sudipkumartamang2604,Thanks dude for your help.,1
@aniljayakar,Thank you so much,1
@carelceri-kw9dj,It worked. thank you so much ,1
@ogbeni1,Thank you. This helped me out.,1
@tracisloan30,Thank you!!! Got it to work finally ,1
@canada-arm,Thank you so much!,1
@grassjoppernct5013,Bro after i did this its still not working its asking to install latest powershell so what should i do? Im a beginner can you tell me what to do?,1
@PuthySlayer69420,ty it solved it for me <3 I was confused why it didnt work,1
@tamilarasan1695,Useful video thanks,1
@user-qx3qg4ly3n,Thank you so much!!,1
@RAHULSINGH-ep6ue,Really helpful,1
@argodaking,Thanks you so much it was very HELPFUL <3,1
@pennagantibhagyavati352,thank you this solution worked for me.,1
